galname,free_nopsf,free_psf,fixed_nopsf,fixed_psf
VFID1543-NGC3320,0.0,0.0,0.0,0.0
VFID1547-MESSIER106,0.0,0.0,0.0,0.0
VFID1550-NGC5377,0.0,1.0,0.0,1.0
VFID1552-MESSIER051a,0.0,1.0,0.0,1.0
VFID1553-NGC2344,0.0,0.0,0.0,0.0
VFID1555-UGC03845,0.0,0.0,0.0,0.0
VFID1556-NGC4217,0.0,1.0,0.0,0.0
VFID1563-NGC3726,0.0,0.0,0.0,0.0
VFID1568-NGC4346,0.0,0.0,0.0,0.0
VFID1578-CGCG243-020,1.0,-999.0,-999.0,1.0
VFID1592-NGC5714,0.0,1.0,0.0,0.0
VFID1595-NGC5173,0.0,1.0,0.0,1.0
VFID1599-UGC09703,0.0,0.0,0.0,0.0
VFID1602-KUG0919+467,0.0,1.0,0.0,0.0
VFID1603-NGC4800,0.0,0.0,0.0,0.0
VFID1605-NGC3782,0.0,0.0,0.0,0.0
VFID1624-NGC5439,0.0,1.0,0.0,1.0
VFID1630-CGCG246-005,0.0,0.0,0.0,1.0
VFID1637-NGC5633,0.0,0.0,0.0,0.0
VFID1645-NGC5301,0.0,0.0,0.0,0.0
VFID1653-MRK0490,0.0,0.0,0.0,0.0
VFID1654-NGC2537,0.0,0.0,0.0,0.0
VFID1656-UGC04393,0.0,0.0,0.0,1.0
VFID1662-KUG0917+461,0.0,0.0,0.0,0.0
VFID1663-SBS1400+461,0.0,0.0,0.0,0.0
VFID1670-NGC3614,0.0,0.0,0.0,0.0
VFID1678-NGC4389,0.0,0.0,0.0,0.0
VFID1680-B31702+457,0.0,1.0,0.0,1.0
VFID1685-NGC3198,0.0,0.0,0.0,1.0
VFID1702-UGCA208,0.0,1.0,0.0,1.0
VFID1725-NGC2776,0.0,0.0,0.0,0.0
VFID1728-NGC2712,0.0,1.0,0.0,1.0
VFID1731-NGC4460,0.0,1.0,0.0,0.0
VFID1755-UGC04982,0.0,0.0,0.0,0.0
VFID1757-UGC09476,0.0,0.0,0.0,0.0
VFID1758-KUG0924+447,0.0,0.0,0.0,0.0
VFID1761-NGC2337,0.0,1.0,0.0,0.0
VFID1778-NGC3938,0.0,0.0,0.0,0.0
VFID1788-NGC4013,0.0,1.0,0.0,0.0
VFID1791-NGC5297,0.0,1.0,1.0,1.0
VFID1805-NGC4183,0.0,0.0,0.0,0.0
VFID1806-NGC4138,0.0,0.0,0.0,0.0
VFID1810-NGC3675,0.0,0.0,0.0,0.0
VFID1826-UGC06149,0.0,0.0,0.0,0.0
